Frame,Difference
0,0.5390
1,0.5274
2,0.5212
3,0.5161
4,0.5013
5,0.4830
6,0.4678
7,0.4319
8,0.4176
9,0.3933
10,0.3656
11,0.3487
12,0.3377
13,0.3267
14,0.3245
15,0.3197
16,0.3233
17,0.3279
18,0.3418
19,0.3529
20,0.3534
21,0.3560
22,0.3716
23,0.3776
24,0.3937
25,0.3977
26,0.4059
27,0.4280
28,0.4395
29,0.4433
30,0.4566
31,0.4827
32,0.4852
33,0.5101
34,0.5155
35,0.4994
36,0.5141
37,0.5081
38,0.5093
39,0.5184
40,0.5186
41,0.5150
42,0.5176
43,0.5205
44,0.5205
45,0.5236
46,0.5222
47,0.5340
48,0.5581
49,0.5715
50,0.5812
51,0.5924
52,0.5969
53,0.6112
54,0.6144
55,0.6185
56,0.6167
57,0.6234
58,0.6219
59,0.6193
60,0.6115
61,0.6191
62,0.6055
63,0.5902
64,0.5637
65,0.5315
66,0.5308
67,0.5262
68,0.5301
69,0.5132
70,0.5134
71,0.4991
72,0.5168
73,0.5071
74,0.5102
75,0.5015
76,0.5067
77,0.4838
78,0.4744
79,0.4646
80,0.4586
81,0.4809
82,0.4731
83,0.4169
84,0.4070
85,0.3996
86,0.3886
87,0.3806
88,0.3681
89,0.3669
90,0.3768
91,0.3936
92,0.4129
93,0.4399
94,0.4716
95,0.5149
96,0.5418
97,0.5763
98,0.6162
99,0.6354
100,0.6580
101,0.6743
102,0.6744
103,0.6690
104,0.6457
105,0.6269
106,0.6130
107,0.5957
108,0.5858
109,0.5739
110,0.5541
111,0.5387
112,0.5391
113,0.5388
114,0.5419
115,0.5429
116,0.5426
117,0.5434
118,0.5450
119,0.5447
120,0.5456
121,0.5464
122,0.5466
123,0.5468
124,0.5455
125,0.5468
126,0.5471
127,0.5496
128,0.5495
129,0.5500
130,0.5518
131,0.5524
132,0.5533
133,0.5549
134,0.5548
135,0.5544
136,0.5550
137,0.5559
138,0.5558
139,0.5563
140,0.5561
141,0.5550
142,0.5534
143,0.5522
144,0.5479
145,0.5477
146,0.5451
147,0.5458
148,0.5440
149,0.5380
150,0.5255
151,0.5207
152,0.5140
153,0.5158
154,0.5169
155,0.5276
156,0.5386
157,0.5503
